t,fv0_x,fv0_v,fv0_v_kmh,fv0_u,fv0_a,lv_x,lv_v,d_fv0_lv,d*_fv0_lv
4.0,-7.9810953,1.6069254,5.784931,-398.93146,-0.58436507,-3.1350048e-14,0.0,7.9810953,3.6069255
4.05,-7.901427,1.5771261,5.6776543,-360.62018,-0.5544399,-3.084228e-14,2.0310746e-14,7.901427,3.5771263
4.1,-7.823357,1.5512514,5.584505,-399.98087,-0.5850189,-2.9251907e-14,4.330415e-14,7.823357,3.5512514
4.15,-7.746527,1.5231239,5.4832463,-367.99106,-0.56002283,-2.6444799e-14,6.898021e-14,7.746527,3.523124
4.2,-7.6709824,1.4942455,5.379284,-301.0614,-0.50781333,-2.2286821e-14,9.7338926e-14,7.6709824,3.4942455
4.25,-7.59695,1.4696426,5.290714,-322.98834,-0.5248196,-1.664384e-14,1.283803e-13,7.59695,3.4696426
4.3,-7.5242004,1.4454848,5.203745,-340.78903,-0.5386139,-9.381724e-15,1.6210434e-13,7.5242004,3.4454846
4.35,-7.4525104,1.4180549,5.104998,-262.66626,-0.47769257,-3.6633987e-16,1.9851102e-13,7.4525104,3.418055
4.4,-7.382196,1.3940554,5.0185995,-254.9446,-0.4716109,1.0536445e-14,2.3760036e-13,7.382196,3.3940554
4.45,-7.3131847,1.3726472,4.9415298,-297.9844,-0.5050707,2.3460763e-14,2.7937236e-13,7.3131847,3.372647
4.5,-7.24513,1.347596,4.851346,-236.21147,-0.45689076,3.8540748e-14,3.2382704e-13,7.24513,3.3475962
4.55,-7.1782765,1.3242148,4.7671733,-202.82475,-0.43082348,5.5681554e-14,3.6180515e-13,7.1782765,3.324215
4.6,-7.1126876,1.3042866,4.6954317,-243.74997,-0.46264145,7.4330373e-14,3.8414755e-13,7.1126876,3.3042865
4.65,-7.0480404,1.2819185,4.614907,-210.44313,-0.4366398,9.370541e-14,3.9085418e-13,7.0480404,3.2819185
4.7,-6.9844294,1.2594557,4.5340405,-162.28653,-0.39907295,1.130249e-13,3.819251e-13,6.9844294,3.2594557
4.75,-6.9220114,1.2405173,4.4658623,-192.2045,-0.42232177,1.3150703e-13,3.5736025e-13,6.9220114,3.2405171
4.8,-6.860536,1.2205424,4.393953,-184.17323,-0.41601253,1.4837003e-13,3.1715968e-13,6.860536,3.2205424
4.85,-6.7999616,1.1991336,4.316881,-127.85908,-0.37209615,1.6283211e-13,2.6132338e-13,6.7999616,3.1991336
4.9,-6.740501,1.1810318,4.251714,-145.8628,-0.3860689,1.7411147e-13,1.8985132e-13,6.740501,3.1810317
4.95,-6.6819825,1.1631868,4.187473,-160.03897,-0.39706165,1.8142634e-13,1.02743524e-13,6.6819825,3.1631868
5.0,-6.624252,1.1428539,4.1142735,-99.07195,-0.34952515,1.8399494e-13,0.0,6.624252,3.1428537
5.05,-6.567553,1.1254357,4.0515685,-103.88243,-0.35322526,1.8103544e-13,-1.1837926e-13,6.567553,3.1254358
5.1,-6.511794,1.1094264,3.9939349,-135.88715,-0.3781086,1.7176611e-13,-2.5239427e-13,6.511794,3.1094265
5.15,-6.456736,1.0903125,3.925125,-76.74344,-0.33199605,1.5540512e-13,-4.0204502e-13,6.456736,3.0903125
5.2,-6.4026217,1.0734537,3.864433,-67.48154,-0.32473838,1.3117071e-13,-5.673315e-13,6.4026217,3.0734537
5.25,-6.3494306,1.0587876,3.8116353,-107.208626,-0.35564005,9.8281084e-14,-7.482537e-13,6.3494306,3.0587876
5.3,-6.296893,1.0411029,3.7479703,-58.021023,-0.3172858,5.595445e-14,-9.448117e-13,6.296893,3.041103
5.35,-6.2452083,1.0248458,3.6894448,-37.968357,-0.3016262,3.4090232e-15,-1.1570054e-12,6.2452083,3.0248458
5.4,-6.1944113,1.0111139,3.64001,-76.94894,-0.33194932,-6.013698e-14,-1.3848348e-12,6.1944113,3.011114
5.45,-6.144243,0.9948009,3.5812833,-38.635532,-0.3020681,-1.3546536e-13,-1.6283e-12,6.144243,2.9948008
5.5,-6.0948486,0.97927785,3.5254002,-13.333389,-0.2823225,-2.2335787e-13,-1.8874008e-12,6.0948486,2.9792778
5.55,-6.0462966,0.9662989,3.4786758,-48.760876,-0.30988073,-3.2326174e-13,-2.1087537e-12,6.0462966,2.9662988
5.6,-5.99835,0.95116055,3.4241781,-18.2516,-0.28608096,-4.3195495e-13,-2.2389748e-12,5.99835,2.9511607
5.65,-5.9511156,0.9364115,3.3710814,9.327832,-0.2645641,-5.448809e-13,-2.2780642e-12,5.9511156,2.9364114
5.7,-5.904679,0.92416745,3.327003,-23.895561,-0.290408,-6.574831e-13,-2.2260219e-12,5.904679,2.9241674
5.75,-5.858821,0.9100562,3.2762022,0.8327351,-0.27111349,-7.6520485e-13,-2.0828476e-12,5.858821,2.910056
5.8,-5.81362,0.8960101,3.2256362,30.865158,-0.24768837,-8.6348956e-13,-1.8485417e-12,5.81362,2.8960102
5.85,-5.769179,0.88449985,3.1841993,-1.809461,-0.273107,-9.477807e-13,-1.5231039e-12,5.769179,2.8844998
5.9,-5.7252893,0.8713375,3.1368148,17.48673,-0.25804585,-1.0135216e-12,-1.1065344e-12,5.7252893,2.8713374
5.95,-5.6820054,0.8579237,3.0885253,50.31588,-0.2324445,-1.0561558e-12,-5.988331e-13,5.6820054,2.8579237
6.0,-5.6394463,0.8470905,3.0495257,18.196127,-0.2574329,-1.0711267e-12,-4.038968e-28,5.6394463,2.8470905
6.05,-5.597413,0.8347772,3.0051978,33.198227,-0.2457185,-1.0538776e-12,6.8996485e-13,5.597413,2.834777
6.1,-5.555942,0.8220164,2.959259,66.79063,-0.21952462,-9.998519e-13,1.4710614e-12,5.555942,2.8220165
6.15,-5.515159,0.81177783,2.9224002,36.09238,-0.24340767,-9.044931e-13,2.3432898e-12,5.515159,2.8117778
6.2,-5.474874,0.8001387,2.8804994,50.21424,-0.2323807,-7.632446e-13,3.30665e-12,5.474874,2.8001387
6.25,-5.435122,0.78810626,2.8371825,81.09968,-0.20829712,-5.715498e-13,4.361142e-12,5.435122,2.7881062
6.3,-5.396019,0.7784161,2.8022978,51.833298,-0.23106655,-3.2485212e-13,5.5067656e-12,5.396019,2.7784162
6.35,-5.357382,0.7672859,2.7622292,68.425316,-0.21811728,-1.859494e-14,6.743521e-12,5.357382,2.7672858
6.4,-5.31926,0.7560048,2.7216175,94.66215,-0.19765617,3.517783e-13,8.071408e-12,5.31926,2.7560048
6.45,-5.281748,0.74685955,2.6886942,65.745834,-0.22015448,7.908242e-13,9.4904275e-12,5.281748,2.7468596
6.5,-5.2446694,0.73615694,2.650165,85.96746,-0.20437965,1.3030993e-12,1.1000578e-11,5.2446694,2.736157
6.55,-5.208091,0.72557163,2.612058,107.91988,-0.1872572,1.8853818e-12,1.2290718e-11,5.208091,2.7255716
6.6,-5.1720886,0.7169805,2.5811298,77.994385,-0.21054299,2.5188922e-12,1.3049702e-11,5.1720886,2.7169805
6.65,-5.1364875,0.7066727,2.5440218,101.74638,-0.19201979,3.1770732e-12,1.3277532e-11,5.1364875,2.7066727
6.7,-5.1013713,0.69671595,2.5081773,120.220184,-0.17760825,3.8333664e-12,1.2974206e-11,5.1013713,2.6967158
6.75,-5.0668015,0.68865764,2.4791675,88.87262,-0.20200299,4.461215e-12,1.2139726e-11,5.0668015,2.6886578
6.8,-5.032601,0.6787102,2.443357,116.18897,-0.18070485,5.0340604e-12,1.077409e-11,5.032601,2.6787102
6.85,-4.9988737,0.669374,2.4097464,130.39604,-0.16961795,5.525345e-12,8.8773e-12,4.9988737,2.669374
6.9,-4.965661,0.6617571,2.3823256,99.315605,-0.19380583,5.9085115e-12,6.449355e-12,4.965661,2.6617572
6.95,-4.9327908,0.6521314,2.347673,130.44214,-0.1695412,6.1570016e-12,3.490255e-12,4.9327908,2.6521313
7.0,-4.9003863,0.6434634,2.3164682,138.05257,-0.1635936,6.244258e-12,3.2311743e-27,4.9003863,2.6434634
7.05,-4.8684583,0.6361384,2.2900982,110.72606,-0.18485866,6.1437227e-12,-4.02141e-12,4.8684583,2.6361384
7.1,-4.8368526,0.62684005,2.2566242,144.69148,-0.15838397,5.8288383e-12,-8.573975e-12,4.8368526,2.62684
7.15,-4.8057084,0.6188661,2.227918,144.0529,-0.1588626,5.2730463e-12,-1.3657694e-11,4.8057084,2.6188662
7.2,-4.7749963,0.6116902,2.2020848,123.901276,-0.1745402,4.44979e-12,-1.927257e-11,4.7749963,2.6116903
7.25,-4.744598,0.60278445,2.170024,158.05176,-0.14792244,3.3325107e-12,-2.5418598e-11,4.744598,2.6027844
7.3,-4.714653,0.59547156,2.1436977,149.27275,-0.15474263,1.894651e-12,-3.2095784e-11,4.714653,2.5954716
7.35,-4.685095,0.58837205,2.1181393,137.7846,-0.16367327,1.0965348e-13,-3.9304122e-11,4.685095,2.588372
7.4,-4.6558495,0.57991296,2.0876868,169.80116,-0.1387186,-2.04904e-12,-4.7043616e-11,4.6558495,2.579913
7.45,-4.627045,0.57320553,2.0635397,153.73024,-0.15121935,-4.607987e-12,-5.5314267e-11,4.627045,2.5732055
7.5,-4.598586,0.5661565,2.0381634,151.08287,-0.15326485,-7.593745e-12,-6.411607e-11,4.598586,2.5661566
