traj_id,t,fv0_x,fv0_v,fv0_v_noise,fv0_u,fv0_a_ref,fv0_a
0.0,14.2,137.15463,12.09918,12.116506,86.3162,0.06722446,-0.27144662
0.0,14.3,138.36435,12.074146,12.070766,94.62265,0.07369365,-0.2647414
0.0,14.4,139.57153,12.049774,12.219136,102.587074,0.07989647,-0.25830916
0.0,14.5,140.7762,12.026004,12.016181,110.20947,0.08583292,-0.2521493
0.0,14.6,141.97842,12.002768,12.030852,117.48985,0.091503,-0.24626121
0.0,14.7,143.1782,11.979998,12.251014,124.428215,0.09690671,-0.24064416
0.0,14.8,144.37558,11.957623,11.8844,131.02455,0.10204404,-0.2352975
0.0,14.9,145.5706,11.935565,11.8845215,137.27885,0.106915,-0.23022048
0.0,15.0,146.76326,11.913748,11.789689,143.19115,0.11151958,-0.22541238
0.0,15.1,147.95357,11.892089,11.903404,148.07245,0.11532123,-0.221409
0.0,15.2,149.14156,11.870502,11.652482,151.23383,0.11778336,-0.21874608
0.0,15.3,150.32722,11.8489,11.891658,152.67528,0.11890598,-0.21742281
0.0,15.4,151.51057,11.82719,11.783412,152.39679,0.11868909,-0.21743836
0.0,15.5,152.69159,11.805278,11.784979,150.39838,0.11713269,-0.21879183
0.0,15.6,153.87025,11.783065,11.653216,146.68004,0.11423679,-0.22148232
0.0,15.7,155.04659,11.76045,12.02092,141.24176,0.11000138,-0.22550891
0.0,15.8,156.22054,11.737328,11.718044,134.08356,0.10442645,-0.23087065
0.0,15.9,157.3921,11.71359,11.451288,125.20543,0.097512014,-0.23756658
0.0,16.0,158.56123,11.689125,11.57589,114.60737,0.089258075,-0.2455957
0.0,16.1,159.7279,11.663818,11.547658,102.289375,0.079664625,-0.25495696
0.0,16.2,160.89207,11.637553,11.773088,88.25145,0.06873166,-0.26564935
0.0,16.3,162.05371,11.610208,11.716163,72.4936,0.056459192,-0.2776718
0.0,16.4,163.21275,11.581656,11.451084,55.01582,0.042847212,-0.29102328
0.0,16.5,164.36916,11.551773,11.499355,35.818108,0.027895723,-0.30570263
0.0,16.6,165.52304,11.520138,11.527121,14.900465,0.0116047235,-0.32170612
0.0,16.7,166.67479,11.485743,11.442807,-7.7371063,-0.0060257837,-0.33902475
0.0,16.8,167.82396,11.44848,11.424868,-32.09461,-0.0249958,-0.3576577
0.0,16.9,168.97006,11.408312,11.364008,-58.17204,-0.045305327,-0.37760484
0.0,17.0,170.11266,11.365208,11.395586,-85.9694,-0.06695436,-0.39886615
0.0,17.1,171.25125,11.3191395,11.275877,-115.486694,-0.08994291,-0.42144153
0.0,17.2,172.38542,11.2700815,11.03921,-146.7239,-0.11427096,-0.44533107
0.0,17.3,173.51471,11.218014,11.195053,-179.68106,-0.13993852,-0.4705348
0.0,17.4,174.63872,11.162918,10.992351,-214.35814,-0.16694559,-0.49705294
0.0,17.5,175.75699,11.104781,11.241338,-250.75516,-0.19529217,-0.5248856
0.0,17.6,176.86914,11.043593,10.935171,-288.8721,-0.22497827,-0.5540331
0.0,17.7,177.97478,10.979349,10.895603,-328.70895,-0.25600386,-0.58449566
0.0,17.8,179.0735,10.9120455,11.07555,-370.26578,-0.28836897,-0.61627364
0.0,17.9,180.16493,10.841683,10.825359,-413.5425,-0.3220736,-0.64936745
0.0,18.0,181.2487,10.768268,10.905129,-458.53915,-0.3571177,-0.6837776
0.0,18.1,182.32445,10.691808,10.643449,-505.25574,-0.39350137,-0.71950436
0.0,18.2,183.39185,10.612315,10.588523,-553.69226,-0.4312245,-0.7565485
0.0,18.3,184.45053,10.529807,10.760425,-603.8487,-0.47028717,-0.7949105
0.0,18.4,185.50018,10.444302,10.390795,-655.028,-0.51014644,-0.83404815
0.0,18.5,186.54048,10.3558235,10.469995,-704.96484,-0.549038,-0.8721977
0.0,18.6,187.57114,10.2644,10.35971,-753.4848,-0.58682615,-0.9092242
0.0,18.7,188.59183,10.170059,10.017463,-800.58795,-0.6235109,-0.94512844
0.0,18.8,189.60226,10.07284,10.092125,-846.27435,-0.6590921,-0.9799111
0.0,18.9,190.60219,9.972776,9.925553,-890.5439,-0.69357,-1.0135732
0.0,19.0,191.59132,9.869913,9.811887,-933.39667,-0.72694445,-1.0461153
0.0,19.1,192.56941,9.764295,9.970996,-974.8326,-0.7592154,-1.0775386
0.0,19.2,193.53621,9.655971,9.665953,-1014.85175,-0.790383,-1.1078439
