t,fv0_x_noise,fv0_v_noise,fv0_x,fv0_v,fv0_u,fv0_a,fv0_a_noise,lv_x,lv_v,d_fv0_lv,d*_fv0_lv,fv0_a_ref
5.0,-1.3646777,0.6107166,-1.4294945,0.61794585,-478.1193,-0.6434179,-0.70632523,1.8261151e-13,0.0,1.4294945,2.617946,-0.37236705
5.1,-1.447896,0.45780933,-1.3708795,0.55692875,-412.1017,-0.5918605,-0.5873044,1.699918e-13,-2.5239427e-13,1.3708795,2.5569289,-0.3209515
5.2,-1.4534554,0.4274782,-1.3180711,0.5006641,-344.25464,-0.5388914,-0.58922803,1.290055e-13,-5.673315e-13,1.3180711,2.5006642,-0.26811108
5.3,-1.1482096,0.3244478,-1.2705449,0.4486898,-274.29913,-0.48429167,-0.38233155,5.339835e-14,-9.448117e-13,1.2705449,2.4486897,-0.2136286
5.4,-1.0218,0.35437495,-1.2279999,0.4021094,-218.66605,-0.44086012,-0.41096613,-6.308398e-14,-1.3848348e-12,1.2279999,2.4021094,-0.17030066
5.5,-1.0037411,0.3008453,-1.1899971,0.36050767,-176.78166,-0.40814847,-0.35985687,-2.2669576e-13,-1.8874008e-12,1.1899971,2.3605077,-0.13768043
5.6,-1.3237835,0.08404918,-1.1559399,0.32180616,-129.51874,-0.37125528,-0.3727066,-4.3301455e-13,-2.2389748e-12,1.1559399,2.3218062,-0.100871295
5.7,-1.187316,0.35576293,-1.1254735,0.28574073,-77.28191,-0.33049488,-0.38065526,-6.562644e-13,-2.2260219e-12,1.1254735,2.2857409,-0.06018841
5.8,-1.0322214,0.47582096,-1.0984741,0.25378877,-39.227245,-0.30078927,-0.32672977,-8.599926e-13,-1.8485417e-12,1.0984741,2.2537887,-0.030550813
5.9,-0.8794945,0.285981,-1.0746036,0.22535726,-11.60789,-0.27921888,-0.26649988,-1.0077464e-12,-1.1065344e-12,1.0746036,2.2253573,-0.009040413
