t,fv0_x,fv0_v,fv0_u,fv0_a,lv_x,lv_v,d_fv0_lv,d*_fv0_lv
8.8,-2.0104048,0.114575595,0.38302043,0.113070905,0.12782918,0.08357327,2.1382341,2.1145756
8.9,-1.9991215,0.12562041,0.28192508,0.011953056,0.18720312,0.06827472,2.1863248,2.1256204
9.0,-1.9862739,0.12708932,0.2881984,0.018223405,0.17477512,0.100937024,2.1610491,2.1270893
9.1,-1.9749439,0.13766882,0.20006174,-0.0699349,0.2278133,0.06961698,2.2027571,2.1376688
9.2,-1.9609777,0.13266972,0.28223807,0.012251651,0.15473591,0.113061525,2.1157136,2.1326697
9.3,-1.9470559,0.13056317,0.33269662,0.062714525,0.18483005,0.12718517,2.131886,2.1305633
9.4,-1.9315441,0.12215302,0.4490684,0.17910343,0.19381885,0.16023846,2.1253629,2.122153
9.5,-1.9197477,0.14049599,0.27380586,0.0038034443,0.15321548,0.11783123,2.0729632,2.140496
9.6,-1.9075719,0.15166162,0.17739491,-0.092630416,0.25479385,0.113117285,2.1623657,2.1516616
9.7,-1.8940076,0.1551176,0.15311068,-0.11692175,0.26704928,0.12358058,2.1610568,2.1551175
9.8,-1.8805344,0.15712751,0.13478425,-0.13525233,0.26840973,0.11493065,2.1489441,2.1571276
9.9,-1.8632782,0.13696966,0.34053588,0.070540674,0.27046797,0.16593611,2.1337461,2.1369696
10.0,-1.8469899,0.1261946,0.4255746,0.15560141,0.22509453,0.16508478,2.0720844,2.1261945
10.1,-1.8330034,0.12854047,0.35283998,0.082862,0.28785586,0.13279343,2.1208594,2.1285405
10.2,-1.818087,0.120456636,0.3786592,0.10869768,0.30387357,0.14046018,2.1219604,2.1204567
10.3,-1.8054655,0.12302536,0.27239895,0.0024322218,0.29184952,0.1057267,2.097315,2.1230254
10.4,-1.7933499,0.120923676,0.20238212,-0.06758033,0.3334229,0.08552662,2.1267726,2.1209238
10.5,-1.7820526,0.115662634,0.1509358,-0.11901594,0.3695201,0.0625175,2.1515727,2.1156626
10.6,-1.7717315,0.10859949,0.114123784,-0.15581362,0.44962364,0.04455005,2.2213552,2.1085994
10.7,-1.763871,0.108054,0.015978932,-0.25395736,0.36831263,0.0036738229,2.1321836,2.108054
10.8,-1.7537476,0.0874966,0.14146954,-0.12842518,0.37523246,0.026079299,2.12898,2.0874965
10.9,-1.7456152,0.07770688,0.1548885,-0.11498653,0.3601349,0.008444241,2.10575,2.0777068
11.0,-1.7373359,0.062282953,0.23850204,-0.031342063,0.26838118,0.014907215,2.005717,2.062283
11.1,-1.7311256,0.057235427,0.21845695,-0.051377065,0.36264613,-0.0050880834,2.0937717,2.0572355
11.2,-1.7258475,0.05314434,0.20075543,-0.06907041,0.36605418,-0.014878815,2.0919018,2.0531445
