t,fv0_x_noise,fv0_v_noise,fv0_x,fv0_v,fv0_u,fv0_a,fv0_a_noise,lv_x,lv_v,d_fv0_lv,d*_fv0_lv,fv0_a_ref
5.5,2.8420846,3.3326285,2.6558285,3.362598,1525.8561,0.90855217,0.8881691,6.772919,4.335652,4.1170907,5.362598,1.1883615
5.6,2.8292387,3.6110775,2.997082,3.45349,1632.853,0.99151343,0.95032036,7.2136054,4.4780674,4.216523,5.45349,1.2716924
5.7,3.285419,3.5509474,3.3472614,3.5557272,1657.7667,1.0104947,0.992919,7.668552,4.620865,4.3212905,5.5557275,1.2910955
5.8,3.7739954,3.5880432,3.7077427,3.6607206,1691.0947,1.0360111,0.9975539,8.137797,4.764045,4.4300547,5.660721,1.317052
5.9,4.2745543,3.67575,4.079445,3.763512,1783.9692,1.107906,1.0612057,8.62138,4.9076076,4.541935,5.7635117,1.3893842
6.0,4.3651977,3.9114172,4.4610324,3.8781455,1780.1587,1.1044428,1.0237919,9.119338,5.051552,4.658305,5.878145,1.3864164
6.1,4.817238,3.8578696,4.8543696,3.9911842,1823.943,1.1380463,1.1415201,9.631709,5.195879,4.7773395,5.991184,1.4205164
6.2,5.038317,4.0790596,5.2595844,4.103793,1900.2964,1.1970091,1.1685737,10.158533,5.340588,4.898948,6.103793,1.4799817
6.3,5.4362655,4.261356,5.6755066,4.228033,1875.3374,1.1770071,1.225321,10.699846,5.48568,5.0243397,6.228033,1.4605432
6.4,6.2668414,4.4770045,6.1043363,4.3470893,1930.8632,1.2197026,1.1473328,11.255688,5.631154,5.151352,6.3470893,1.5037875
6.5,6.8167377,4.5344844,6.54549,4.4677296,1991.1881,1.2661196,1.2390153,11.826097,5.7770104,5.2806063,6.4677296,1.5507696
6.6,6.9836426,4.527989,6.998045,4.5993953,1948.7205,1.232418,1.3230634,12.411049,5.922051,5.4130044,6.5993953,1.5176951
6.7,7.6651006,4.840688,7.464394,4.7228465,2008.5864,1.278445,1.2314645,13.010406,6.0650783,5.5460114,6.7228465,1.5643196
6.8,8.015674,4.819134,7.9433465,4.8490853,2047.4916,1.3081241,1.2962973,13.623964,6.2060924,5.6806173,6.8490853,1.5946195
6.9,8.305145,4.861434,8.434169,4.9850044,1987.3346,1.2605933,1.1998011,14.251523,6.345093,5.817354,6.9850044,1.5477684
7.0,9.011571,5.093103,8.939292,5.1103067,2047.3334,1.3066849,1.2392635,14.892882,6.48208,5.9535904,7.1103067,1.5944964
7.1,9.764697,5.3828835,9.457089,5.2390666,2071.396,1.3247609,1.4021266,15.547839,6.6170535,6.0907493,7.2390666,1.6132367
7.2,9.979769,5.393236,9.986934,5.3767123,1998.0793,1.2669395,1.2754915,16.216192,6.750014,6.229258,7.3767123,1.5561365
7.3,10.844223,5.5033402,10.531294,5.502088,2056.6208,1.3118654,1.3185494,16.897741,6.880961,6.3664465,7.502088,1.6017296
7.4,10.564359,5.7945523,11.088307,5.630831,2074.41,1.3250245,1.2402086,17.592283,7.0098944,6.503976,7.630831,1.615584
7.5,11.821647,5.625471,11.657267,5.7686067,1987.9298,1.256917,1.2748541,18.29962,7.1368146,6.6423526,7.7686067,1.5482318
7.6,12.258148,5.764442,12.240739,5.8930016,2039.9207,1.2967163,1.3545874,19.019531,7.2614245,6.778792,7.8930016,1.5887233
7.7,12.777035,5.8578405,12.836836,6.019425,2059.786,1.3114744,1.3689482,19.751774,7.383427,6.9149375,8.019425,1.6041945
7.8,13.462899,6.1929197,13.444547,6.155655,1960.8801,1.2336655,1.2670822,20.496086,7.5028224,7.051539,8.155655,1.5271652
7.9,13.668984,6.294985,14.066498,6.2783356,1996.9078,1.2610127,1.2045385,21.252209,7.619611,7.18571,8.278336,1.5552242
8.0,14.657129,6.554509,14.701064,6.4002357,2026.9884,1.2837234,1.2993796,22.019878,7.733792,7.3188143,8.400235,1.5786514
8.1,15.418164,6.557347,15.346742,6.5329995,1922.6307,1.2016572,1.2350364,22.798836,7.845366,7.452094,8.532999,1.497376
8.2,16.30164,6.6133676,16.006062,6.6537833,1932.3124,1.2084686,1.1187464,23.588821,7.954333,7.5827594,8.653783,1.5049162
8.3,16.574404,6.769631,16.678059,6.769451,1980.0021,1.2449036,1.1888396,24.389572,8.060693,7.7115135,8.769451,1.5420576
8.4,17.19888,6.9087195,17.360577,6.896949,1879.5979,1.1659188,1.2103268,25.200829,8.164445,7.840252,8.896949,1.4638613
8.5,17.955433,6.8491335,18.055784,7.0163097,1848.3942,1.1408699,1.1846721,26.022331,8.265591,7.9665475,9.01631,1.4395593
8.6,18.946915,7.3957314,18.763834,7.124698,1919.419,1.1954991,1.1180699,26.853876,8.365319,8.090042,9.124699,1.4948746
8.7,19.54763,7.297152,19.48188,7.245165,1843.7367,1.1357855,1.1755365,27.695383,8.464824,8.213503,9.245165,1.435932
8.8,20.105396,7.385446,20.211348,7.364445,1767.359,1.075529,1.0802941,28.54683,8.564102,8.335482,9.364446,1.3764478
8.9,21.056631,7.528206,20.953978,7.4666896,1864.4694,1.1504912,1.1895417,29.408192,8.663156,8.454216,9.466689,1.4520789
9.0,21.725794,7.6507597,21.706379,7.5798182,1830.8954,1.1235955,1.0918695,30.27945,8.761984,8.5730715,9.579819,1.425931
9.1,22.662617,7.6860504,22.468887,7.7001057,1708.1677,1.0272095,1.0594687,31.160578,8.860587,8.691691,9.700106,1.3303487
9.2,23.104206,7.7370524,23.244617,7.8001766,1796.1431,1.0950508,1.1372422,32.051556,8.958964,8.806938,9.800177,1.3988653
9.3,23.965008,7.9650216,24.03054,7.9050765,1821.8557,1.1143616,1.0967948,32.95236,9.057117,8.92182,9.905077,1.4188907
9.4,24.747149,8.061925,24.825571,8.023355,1692.5154,1.0128152,1.0137029,33.86297,9.155045,9.037397,10.023355,1.3181584
9.5,25.340319,8.045086,25.633022,8.126075,1724.8376,1.0372746,1.0048485,34.783356,9.252747,9.150335,10.126075,1.3433316
9.6,26.510818,8.365627,26.451595,8.223724,1805.5062,1.0994159,1.1819978,35.71352,9.350527,9.261927,10.223724,1.4061575
9.7,27.330963,8.366757,27.278751,8.337422,1705.1338,1.0204395,1.014426,36.65348,9.448689,9.37473,10.337422,1.3279859
9.8,28.118029,8.51834,28.117004,8.445358,1662.9036,0.98677874,0.9406775,37.60328,9.547235,9.486273,10.445358,1.2950963
9.9,28.920515,8.677187,28.967432,8.537995,1783.8394,1.0802977,1.0445064,38.562946,9.646162,9.595515,10.537995,1.389283
10.0,29.543346,8.648042,29.826422,8.645852,1735.1858,1.0416216,1.04796,39.532528,9.745472,9.706109,10.645852,1.3513908
10.1,30.610935,8.791074,30.695063,8.759378,1621.9578,0.95260465,0.9902712,40.512062,9.845164,9.8169985,10.759378,1.263207
10.2,31.50804,8.931924,31.576582,8.850922,1746.9083,1.0492407,0.9824494,41.501583,9.945238,9.924999,10.850922,1.3605205
10.3,32.306828,8.879363,32.46728,8.951849,1767.8466,1.0647948,1.1571778,42.50113,10.045695,10.033846,10.951849,1.3768275
10.4,33.334305,9.072598,33.36656,9.067193,1630.2792,0.9567869,0.9722206,43.51074,10.146534,10.144178,11.067193,1.2696878
10.5,34.359108,9.176404,34.278297,9.16385,1696.3722,1.0075272,1.03085,44.530453,10.247756,10.252157,11.16385,1.3211621
10.6,35.5778,9.162519,35.20056,9.258125,1785.4966,1.0762174,1.071358,45.56025,10.348134,10.359685,11.258125,1.3905737
10.7,36.16579,9.602562,36.130875,9.370798,1667.2329,0.9832424,0.9842053,46.59998,10.446444,10.469101,11.370798,1.298468
10.8,37.123783,9.334715,37.072273,9.475445,1628.8419,0.9525285,0.9451143,47.649433,10.542685,10.577161,11.475445,1.2685685
10.9,38.010708,9.434399,38.025597,9.564209,1754.8677,1.0499831,1.100873,48.708412,10.636856,10.682815,11.564209,1.3667194
11.0,38.603245,9.80053,38.987,9.669108,1694.2671,1.0019575,1.0015612,49.776703,10.72896,10.789701,11.669108,1.3195226
11.1,39.9524,9.850254,39.957703,9.778927,1568.4921,0.90312684,0.9414793,50.8541,10.8189945,10.896398,11.778927,1.221567
11.2,40.953,9.762428,40.940952,9.865025,1689.4949,0.9966745,0.9749821,51.9404,10.906961,10.999445,11.865025,1.3158059
11.3,42.425476,10.020563,41.932827,9.959834,1701.9874,1.0056373,1.0154194,53.03539,10.992859,11.10256,11.959834,1.3255353
11.4,42.894096,10.21557,42.932568,10.068786,1545.8074,0.88311404,0.842918,54.138866,11.076688,11.206298,12.068786,1.2038999
11.5,44.004272,10.155404,43.943962,10.15843,1585.678,0.91343,0.9742564,55.25062,11.158447,11.306661,12.15843,1.2349517
11.6,44.95838,10.50183,44.965324,10.241948,1676.6737,0.9836088,0.9419214,56.370445,11.238036,11.405124,12.241948,1.3058206
11.7,45.759956,10.170885,45.99369,10.343291,1556.118,0.888875,0.872626,57.498116,11.315349,11.504423,12.343291,1.2119299
11.8,47.26004,10.5100155,47.031475,10.440633,1461.7926,0.814597,0.798849,58.633404,11.390385,11.601928,12.440633,1.1384678
11.9,48.231068,10.632074,48.08068,10.515422,1595.742,0.91828805,0.9005905,59.776077,11.463146,11.695397,12.515422,1.2427896
12.0,49.295162,10.692521,49.136955,10.603387,1566.9639,0.89512885,0.9312537,60.92592,11.533632,11.788963,12.603387,1.2203768
12.1,50.01843,10.682499,50.200306,10.702934,1392.3333,0.7582733,0.74244046,62.08269,11.601842,11.882386,12.702934,1.0843717
12.2,51.55529,10.749433,51.27473,10.778477,1460.1931,0.8104742,0.88017046,63.246174,11.667776,11.971441,12.778477,1.137222
12.3,52.07718,10.895711,52.35755,10.851296,1537.5702,0.8701074,0.82918364,64.41613,11.731436,12.058583,12.851296,1.1974845
12.4,53.56351,11.023735,53.44614,10.94216,1397.128,0.7599389,0.76840776,65.59235,11.792819,12.146206,12.94216,1.0881059
12.5,54.981274,11.086842,54.543182,11.026594,1305.8834,0.68813753,0.64934826,66.77458,11.851926,12.2314005,13.026594,1.0170431
12.6,55.45229,11.192285,55.6504,11.088279,1441.9755,0.79358596,0.8146346,67.96262,11.908816,12.3122225,13.088279,1.1230339
12.7,56.650093,11.061458,56.76335,11.163344,1410.4741,0.7683889,0.7675915,69.156235,11.963548,12.392888,13.163344,1.0985
12.8,57.90195,11.2275505,57.88202,11.250327,1227.1823,0.6248655,0.61711234,70.355225,12.016119,12.473203,13.250327,0.9557494
12.9,58.90971,11.219417,59.010406,11.313417,1283.1824,0.66791576,0.7273395,71.55936,12.066531,12.548949,13.313417,0.9993632
13.0,59.835983,11.332668,60.14612,11.37128,1374.3881,0.73842937,0.70571226,72.76842,12.114784,12.622302,13.37128,1.0703957
13.1,61.299915,11.548914,61.2862,11.447392,1244.1049,0.6362769,0.6656027,73.9822,12.160877,12.696001,13.447392,0.968929
13.2,62.220367,11.532337,62.432827,11.521539,1113.0706,0.53355384,0.49510586,75.200485,12.204812,12.767659,13.521539,0.86687744
13.3,63.68342,11.829626,63.5887,11.56894,1251.9236,0.6412638,0.64689803,76.42306,12.246587,12.834357,13.56894,0.9750184
13.4,64.56541,11.645718,64.7493,11.626377,1258.6824,0.6460035,0.5862247,77.6497,12.286202,12.900402,13.626377,0.98028225
13.5,66.22375,11.705375,65.91376,11.699406,1072.4999,0.5003321,0.46720627,78.88019,12.323659,12.966433,13.699406,0.8352803
13.6,66.929184,11.765023,67.08584,11.754405,1064.2582,0.49340698,0.4892998,80.114395,12.360498,13.02856,13.754405,0.8288615
13.7,68.20059,11.730807,68.26501,11.794588,1203.5548,0.6015223,0.6922548,81.35233,12.398265,13.08733,13.794588,0.93734795
13.8,69.60998,11.847126,69.44727,11.85291,1132.4568,0.54560965,0.5506498,82.59409,12.436956,13.14682,13.85291,0.88197565
13.9,70.38745,12.032982,70.63362,11.920203,953.0995,0.40529716,0.48803058,83.839775,12.476575,13.206151,13.920203,0.7422893
14.0,71.87377,11.9710045,71.828285,11.959608,1070.0266,0.495994,0.50701016,85.089455,12.51712,13.261176,13.959608,0.8333541
14.1,73.2893,11.920062,73.02787,11.999408,1175.8472,0.5780361,0.55868196,86.34325,12.558591,13.315375,13.999408,0.91576886
14.2,73.90824,11.969141,74.229744,12.061649,1031.1829,0.46478456,0.5417524,87.60122,12.600988,13.371483,14.061649,0.80310196
14.3,75.4737,12.076416,75.436775,12.121436,909.4129,0.36938426,0.39123514,88.86349,12.644312,13.426712,14.121436,0.7082655
14.4,76.70403,12.159643,76.652054,12.152257,1101.4578,0.51866037,0.48652428,90.130135,12.688561,13.478076,14.152257,0.85783315
14.5,78.02685,12.316771,77.87048,12.1974125,1135.3251,0.54460853,0.5681371,91.401245,12.733737,13.5307665,14.1974125,0.8842095
14.6,78.843925,12.128978,79.09132,12.263026,944.26514,0.3951836,0.38055387,92.67691,12.779466,13.585589,14.263026,0.735409
14.7,80.0551,12.277617,80.31919,12.309601,959.6354,0.4067093,0.3072576,93.957146,12.825372,13.637959,14.309601,0.7473796
14.8,81.65795,12.356004,81.55356,12.341573,1133.2643,0.5416281,0.5884268,95.24199,12.871456,13.688429,14.341573,0.8826046
14.9,82.84954,12.212013,82.790146,12.395384,1067.2911,0.48973048,0.54447716,96.53145,12.917719,13.741302,14.395384,0.8312236
